,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU017,1,601,834,1435,301.0,2,2
1,IDU017,2,633,467,1100,267.0,1,8
2,IDU017,3,567,1001,1568,266.0,1,7
3,IDU017,4,601,567,1168,,1,1
4,IDU017,5,600,300,900,467.0,1,3
5,IDU017,6,534,734,1268,,2,4
6,IDU017,7,668,367,1035,367.0,1,1
7,IDU017,8,567,600,1167,233.0,1,1
8,IDU017,9,667,400,1067,300.0,1,5
9,IDU017,10,667,400,1067,267.0,1,6
10,IDU017,11,166,467,633,,2,2
11,IDU017,12,601,301,902,434.0,1,1
12,IDU017,13,667,300,967,,1,1
13,IDU017,14,700,333,1033,367.0,1,3
14,IDU017,15,633,233,866,267.0,1,3
15,IDU017,16,633,433,1066,,2,4
16,IDU017,17,567,366,933,,2,7
