,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU019,1,834.0,467.0,1301.0,,2,8
1,IDU019,2,733.0,333.0,1066.0,,2,2
2,IDU019,3,567.0,500.0,1067.0,,2,2
3,IDU019,4,1068.0,500.0,1568.0,566.0,1,5
4,IDU019,5,633.0,634.0,1267.0,500.0,1,1
5,IDU019,6,,,,,1,1
6,IDU019,7,,,,,0,3
7,IDU019,8,634.0,567.0,1201.0,267.0,1,1
8,IDU019,9,567.0,834.0,1401.0,434.0,1,2
9,IDU019,10,467.0,534.0,1001.0,200.0,1,1
10,IDU019,11,,,,,3,4
11,IDU019,12,700.0,466.0,1166.0,,2,7
12,IDU019,13,801.0,800.0,1601.0,434.0,1,1
13,IDU019,14,1101.0,767.0,1868.0,333.0,1,12
14,IDU019,15,601.0,934.0,1535.0,401.0,1,2
15,IDU019,16,667.0,734.0,1401.0,533.0,1,4
16,IDU019,17,767.0,434.0,1201.0,267.0,1,3
