,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU013,1,734.0,400.0,1134.0,367.0,2,2
1,IDU013,2,701.0,834.0,1535.0,66.0,1,2
2,IDU013,3,234.0,801.0,1035.0,,1,1
3,IDU013,4,634.0,467.0,1101.0,367.0,1,7
4,IDU013,5,567.0,1200.0,1767.0,,1,1
5,IDU013,6,633.0,900.0,1533.0,,2,4
6,IDU013,7,500.0,700.0,1200.0,,2,2
7,IDU013,8,,,,,2,4
8,IDU013,9,901.0,1301.0,2202.0,300.0,1,7
9,IDU013,10,634.0,734.0,1368.0,267.0,1,3
10,IDU013,11,500.0,1001.0,1501.0,334.0,1,2
11,IDU013,12,434.0,1335.0,1769.0,,2,5
12,IDU013,13,401.0,1935.0,2336.0,333.0,2,2
13,IDU013,14,567.0,901.0,1468.0,,2,6
14,IDU013,15,634.0,601.0,1235.0,233.0,1,1
15,IDU013,16,633.0,534.0,1167.0,133.0,1,4
16,IDU013,17,700.0,467.0,1167.0,,1,1
