,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU021,1,734,500,1234,233.0,1,1
1,IDU021,2,334,267,601,,2,4
2,IDU021,3,734,633,1367,467.0,1,8
3,IDU021,4,767,601,1368,200.0,1,2
4,IDU021,5,734,300,1034,,1,1
5,IDU021,6,734,467,1201,434.0,1,1
6,IDU021,7,67,167,234,,2,2
7,IDU021,8,700,467,1167,567.0,1,3
8,IDU021,9,700,367,1067,,1,1
9,IDU021,10,734,400,1134,,2,2
10,IDU021,11,834,400,1234,,2,4
11,IDU021,12,734,334,1068,334.0,1,1
12,IDU021,13,700,434,1134,,2,9
13,IDU021,14,700,534,1234,200.0,1,3
14,IDU021,15,667,400,1067,500.0,2,4
15,IDU021,16,601,433,1034,367.0,1,2
16,IDU021,17,801,567,1368,400.0,3,11
