,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU037,1,801,467,1268,467.0,2,2
1,IDU037,2,767,367,1134,567.0,2,2
2,IDU037,3,867,433,1300,534.0,1,6
3,IDU037,4,901,434,1335,266.0,1,1
4,IDU037,5,601,501,1102,99.0,1,2
5,IDU037,6,800,500,1300,533.0,3,5
6,IDU037,7,967,400,1367,300.0,1,6
7,IDU037,8,734,367,1101,367.0,1,3
8,IDU037,9,633,433,1066,334.0,1,3
9,IDU037,10,768,367,1135,433.0,2,2
10,IDU037,11,833,433,1266,300.0,2,3
11,IDU037,12,867,434,1301,234.0,1,1
12,IDU037,13,667,434,1101,233.0,2,3
13,IDU037,14,1001,567,1568,367.0,1,2
14,IDU037,15,834,501,1335,334.0,1,3
15,IDU037,16,1267,300,1567,367.0,1,12
16,IDU037,17,967,333,1300,,2,2
