,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU024,1,634,468,1102,333.0,2,2
1,IDU024,2,667,334,1001,367.0,1,1
2,IDU024,3,834,434,1268,467.0,1,2
3,IDU024,4,734,300,1034,334.0,1,1
4,IDU024,5,800,234,1034,367.0,2,3
5,IDU024,6,800,333,1133,,3,14
6,IDU024,7,767,367,1134,266.0,1,4
7,IDU024,8,734,501,1235,199.0,1,1
8,IDU024,9,767,300,1067,401.0,2,3
9,IDU024,10,667,501,1168,600.0,1,2
10,IDU024,11,601,667,1268,701.0,2,8
11,IDU024,12,701,501,1202,501.0,1,2
12,IDU024,13,367,467,834,,4,6
13,IDU024,14,667,367,1034,601.0,2,2
14,IDU024,15,667,1067,1734,601.0,1,1
15,IDU024,16,767,267,1034,300.0,1,2
16,IDU024,17,401,767,1168,600.0,1,6
