,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU035,1,466,434,900,,4,4
1,IDU035,2,834,1935,2769,934.0,1,8
2,IDU035,3,734,434,1168,334.0,2,4
3,IDU035,4,768,1834,2602,,1,1
4,IDU035,5,700,434,1134,,3,3
5,IDU035,6,801,334,1135,501.0,1,1
6,IDU035,7,767,600,1367,534.0,2,4
7,IDU035,8,667,568,1235,367.0,1,3
8,IDU035,9,601,600,1201,233.0,1,1
9,IDU035,10,668,567,1235,234.0,1,2
10,IDU035,11,701,334,1035,167.0,1,13
11,IDU035,12,599,600,1199,534.0,1,3
12,IDU035,13,734,434,1168,234.0,1,1
13,IDU035,14,701,601,1302,567.0,1,4
14,IDU035,15,100,400,500,,2,2
15,IDU035,16,668,500,1168,434.0,1,4
16,IDU035,17,400,1000,1400,500.0,1,3
