,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU038,1,334,734,1068,,2,2
1,IDU038,2,768,367,1135,900.0,2,2
2,IDU038,3,634,667,1301,900.0,2,4
3,IDU038,4,700,533,1233,600.0,1,7
4,IDU038,5,634,601,1235,601.0,2,8
5,IDU038,6,767,600,1367,,1,1
6,IDU038,7,200,434,634,,3,6
7,IDU038,8,768,567,1335,633.0,2,2
8,IDU038,9,801,434,1235,601.0,1,2
9,IDU038,10,600,668,1268,767.0,1,2
10,IDU038,11,833,467,1300,467.0,1,1
11,IDU038,12,534,901,1435,667.0,3,4
12,IDU038,13,634,867,1501,634.0,3,4
13,IDU038,14,934,534,1468,667.0,3,4
14,IDU038,15,768,634,1402,634.0,2,3
15,IDU038,16,634,500,1134,,1,1
16,IDU038,17,734,600,1334,,2,2
