,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU008,1,33,800,833,,3,3
1,IDU008,2,833,500,1333,300.0,1,3
2,IDU008,3,600,700,1300,,3,10
3,IDU008,4,700,767,1467,167.0,1,1
4,IDU008,5,433,634,1067,234.0,1,5
5,IDU008,6,634,567,1201,267.0,1,2
6,IDU008,7,601,400,1001,200.0,1,1
7,IDU008,8,567,667,1234,200.0,1,5
8,IDU008,9,667,600,1267,267.0,1,2
9,IDU008,10,433,634,1067,33.0,1,1
10,IDU008,11,501,301,802,,2,6
11,IDU008,12,467,600,1067,,2,5
12,IDU008,13,601,500,1101,300.0,1,4
13,IDU008,14,601,934,1535,366.0,1,1
14,IDU008,15,667,400,1067,200.0,1,2
15,IDU008,16,567,433,1000,401.0,1,5
16,IDU008,17,600,400,1000,,2,4
