,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU029,1,468,333,801,734.0,1,1
1,IDU029,2,500,333,833,,2,2
2,IDU029,3,234,567,801,667.0,1,1
3,IDU029,4,434,433,867,567.0,1,1
4,IDU029,5,567,334,901,701.0,1,4
5,IDU029,6,701,401,1102,600.0,1,3
6,IDU029,7,567,334,901,534.0,1,3
7,IDU029,8,467,467,934,601.0,1,2
8,IDU029,9,701,434,1135,434.0,2,7
9,IDU029,10,633,534,1167,400.0,2,6
10,IDU029,11,734,1033,1767,467.0,1,10
11,IDU029,12,733,267,1000,300.0,2,7
12,IDU029,13,634,500,1134,767.0,1,4
13,IDU029,14,767,368,1135,,1,1
14,IDU029,15,567,400,967,567.0,1,1
15,IDU029,16,767,300,1067,,1,1
16,IDU029,17,701,467,1168,534.0,1,3
