,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU015,1,801,600,1401,266.0,2,2
1,IDU015,2,1000,367,1367,300.0,1,3
2,IDU015,3,833,300,1133,434.0,1,3
3,IDU015,4,734,1634,2368,,2,4
4,IDU015,5,567,734,1301,,1,6
5,IDU015,6,800,333,1133,267.0,1,1
6,IDU015,7,600,701,1301,399.0,1,4
7,IDU015,8,667,466,1133,300.0,1,1
8,IDU015,9,834,367,1201,467.0,1,10
9,IDU015,10,667,368,1035,868.0,1,2
10,IDU015,11,868,400,1268,434.0,1,1
11,IDU015,12,767,801,1568,233.0,2,3
12,IDU015,13,701,401,1102,467.0,2,3
13,IDU015,14,700,700,1400,467.0,1,4
14,IDU015,15,700,800,1500,401.0,2,4
15,IDU015,16,734,434,1168,234.0,1,5
16,IDU015,17,667,400,1067,200.0,2,4
