,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU011,1,734,367,1101,467.0,1,1
1,IDU011,2,534,199,733,167.0,3,3
2,IDU011,3,700,533,1233,266.0,1,2
3,IDU011,4,600,501,1101,267.0,1,8
4,IDU011,5,600,633,1233,434.0,1,3
5,IDU011,6,700,401,1101,467.0,1,8
6,IDU011,7,633,567,1200,100.0,1,1
7,IDU011,8,400,634,1034,400.0,1,1
8,IDU011,9,567,433,1000,,1,2
9,IDU011,10,567,634,1201,333.0,3,9
10,IDU011,11,368,567,935,,1,1
11,IDU011,12,667,334,1001,401.0,1,1
12,IDU011,13,600,434,1034,400.0,1,4
13,IDU011,14,467,700,1167,,2,2
14,IDU011,15,567,400,967,400.0,1,4
15,IDU011,16,600,367,967,467.0,1,4
16,IDU011,17,634,400,1034,467.0,2,5
