,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU025,1,634,567,1201,,3,3
1,IDU025,2,734,266,1000,734.0,1,1
2,IDU025,3,733,734,1467,767.0,1,2
3,IDU025,4,635,400,1035,668.0,2,4
4,IDU025,5,734,467,1201,467.0,2,3
5,IDU025,6,533,435,968,,2,5
6,IDU025,7,734,533,1267,601.0,1,2
7,IDU025,8,867,1201,2068,568.0,1,6
8,IDU025,9,867,433,1300,567.0,1,5
9,IDU025,10,701,567,1268,567.0,2,3
10,IDU025,11,667,434,1101,634.0,1,7
11,IDU025,12,600,567,1167,534.0,1,3
12,IDU025,13,800,633,1433,500.0,1,3
13,IDU025,14,267,634,901,,1,1
14,IDU025,15,567,533,1100,634.0,2,6
15,IDU025,16,767,901,1668,601.0,1,4
16,IDU025,17,300,534,834,,1,1
