,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU040,1,368,434,802,434.0,1,1
1,IDU040,2,500,534,1034,367.0,2,2
2,IDU040,3,534,400,934,,1,1
3,IDU040,4,768,467,1235,667.0,1,5
4,IDU040,5,734,534,1268,301.0,1,5
5,IDU040,6,767,1101,1868,,1,1
6,IDU040,7,600,867,1467,368.0,1,4
7,IDU040,8,700,600,1300,,1,3
8,IDU040,9,667,567,1234,534.0,1,1
9,IDU040,10,634,300,934,,1,1
10,IDU040,11,600,768,1368,534.0,1,1
11,IDU040,12,701,400,1101,301.0,1,1
12,IDU040,13,667,601,1268,300.0,1,2
13,IDU040,14,667,567,1234,600.0,1,14
14,IDU040,15,700,535,1235,600.0,1,3
15,IDU040,16,734,501,1235,467.0,1,5
16,IDU040,17,634,401,1035,601.0,1,6
