,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU027,1,601.0,300.0,901.0,467.0,2,2
1,IDU027,2,734.0,433.0,1167.0,,2,2
2,IDU027,3,767.0,333.0,1100.0,534.0,1,4
3,IDU027,4,700.0,401.0,1101.0,500.0,1,2
4,IDU027,5,667.0,467.0,1134.0,500.0,2,12
5,IDU027,6,834.0,333.0,1167.0,500.0,1,2
6,IDU027,7,701.0,334.0,1035.0,568.0,1,11
7,IDU027,8,901.0,300.0,1201.0,500.0,1,1
8,IDU027,9,700.0,467.0,1167.0,367.0,1,7
9,IDU027,10,668.0,434.0,1102.0,,1,1
10,IDU027,11,601.0,367.0,968.0,234.0,1,1
11,IDU027,12,600.0,368.0,968.0,367.0,1,2
12,IDU027,13,,,,,1,1
13,IDU027,14,600.0,2835.0,3435.0,200.0,1,1
14,IDU027,15,600.0,367.0,967.0,333.0,1,1
15,IDU027,16,768.0,367.0,1135.0,500.0,1,1
16,IDU027,17,667.0,433.0,1100.0,534.0,1,4
