,SUBJECT,TRIAL,T1,T2,T1+T2,T3,Previous Go - Video,Previous Go TOT
0,IDU002,1,534,634,1168,567.0,2,2
1,IDU002,2,668,1068,1736,700.0,1,14
2,IDU002,3,701,233,934,167.0,1,1
3,IDU002,4,134,500,634,,3,4
4,IDU002,5,501,967,1468,433.0,1,4
5,IDU002,6,634,667,1301,,1,1
6,IDU002,7,667,434,1101,633.0,1,1
7,IDU002,8,801,500,1301,,2,2
8,IDU002,9,700,633,1333,500.0,1,10
9,IDU002,10,700,367,1067,134.0,1,1
10,IDU002,11,734,467,1201,,3,4
11,IDU002,12,601,667,1268,567.0,2,2
12,IDU002,13,667,567,1234,533.0,2,3
13,IDU002,14,633,533,1166,,1,4
14,IDU002,15,834,500,1334,300.0,2,2
15,IDU002,16,734,900,1634,667.0,1,2
16,IDU002,17,600,534,1134,233.0,1,1
