SUBJECT,TRIAL,T1,T2,Previous Go - Video,Previous Go TOT
IDU008,1,500,N/A,3,3
IDU008,2,800,233,1,3
IDU008,3,567,N/A,3,10
IDU008,4,667,167,1,1
IDU008,5,767,267,1,5
IDU008,6,634,300,1,2
IDU008,7,601,167,1,1
IDU008,8,834,200,1,5
IDU008,9,934,200,1,2
IDU008,10,733,233,1,1
IDU008,11,534,N/A,2,6
IDU008,12,800,N/A,2,5
IDU008,13,601,266,1,4
IDU008,14,568,233,1,1
IDU008,15,667,233,1,2
IDU008,16,934,367,1,5
IDU008,17,600,N/A,2,4
