SUBJECT,TRIAL,T1,T2,Previous Go - Video,Previous Go TOT
IDU011,1,801,1167,1,1
IDU011,2,568,600,3,3
IDU011,3,734,767,1,2
IDU011,4,667,500,1,8
IDU011,5,533,634,1,3
IDU011,6,700,600,1,8
IDU011,7,667,234,1,1
IDU011,8,634,467,1,1
IDU011,9,601,533,1,2
IDU011,10,567,467,3,9
IDU011,11,468,N/A,1,1
IDU011,12,734,634,1,1
IDU011,13,600,534,1,4
IDU011,14,567,N/A,2,2
IDU011,15,667,667,1,4
IDU011,16,634,767,1,4
IDU011,17,667,534,2,5
