SUBJECT,TRIAL,T1,T2,Previous Go - Video,Previous Go TOT
IDU023,1,934,400,1,4
IDU023,2,934,700,1,1
IDU023,3,1001,234,1,1
IDU023,4,534,633,0,3
IDU023,5,533,N/A,1,1
IDU023,6,300,N/A,1,2
IDU023,7,901,534,2,7
IDU023,8,767,667,2,11
IDU023,9,1034,834,1,1
IDU023,10,767,700,1,1
IDU023,11,701,533,1,9
IDU023,12,667,734,1,3
IDU023,13,668,N/A,1,1
IDU023,14,867,901,1,2
IDU023,15,801,N/A,2,2
IDU023,16,667,N/A,1,7
IDU023,17,N/A,N/A,2,2
IDU023,18,N/A,N/A,3,3
