SUBJECT,TRIAL,T1,T2,Previous Go - Video,Previous Go TOT
IDU027,1,800,367,2,2
IDU027,2,701,N/A,2,2
IDU027,3,734,467,1,4
IDU027,4,700,500,1,2
IDU027,5,633,400,2,12
IDU027,6,734,267,1,2
IDU027,7,667,500,1,11
IDU027,8,867,333,1,1
IDU027,9,700,534,1,7
IDU027,10,701,N/A,1,1
IDU027,11,868,234,1,1
IDU027,12,567,367,1,2
IDU027,13,900,600,1,1
IDU027,14,34,N/A,1,1
IDU027,15,600,333,1,1
IDU027,16,734,500,1,1
IDU027,17,634,534,1,4
