SUBJECT,TRIAL,T1,T2,Previous Go - Video,Previous Go TOT
IDU013,1,734,367,2,2
IDU013,2,668,234,1,2
IDU013,3,300,N/A,1,1
IDU013,4,834,567,1,7
IDU013,5,601,N/A,1,1
IDU013,6,667,N/A,2,4
IDU013,7,801,N/A,2,2
IDU013,8,234,N/A,2,4
IDU013,9,834,334,1,7
IDU013,10,634,334,1,3
IDU013,11,667,500,1,2
IDU013,12,401,N/A,2,5
IDU013,13,668,333,2,2
IDU013,14,600,N/A,2,6
IDU013,15,601,300,1,1
IDU013,16,600,267,1,4
IDU013,17,667,N/A,1,1
