SUBJECT,TRIAL,T1,T2,Previous Go - Video,Previous Go TOT
IDU017,1,601,334,2,2
IDU017,2,834,267,1,8
IDU017,3,567,333,1,7
IDU017,4,601,N/A,1,1
IDU017,5,600,600,1,3
IDU017,6,534,N/A,2,4
IDU017,7,634,400,1,1
IDU017,8,567,333,1,1
IDU017,9,634,333,1,5
IDU017,10,667,334,1,6
IDU017,11,166,N/A,2,2
IDU017,12,601,434,1,1
IDU017,13,634,N/A,1,1
IDU017,14,667,500,1,3
IDU017,15,633,367,1,3
IDU017,16,667,N/A,2,4
IDU017,17,534,N/A,2,7
