SUBJECT,TRIAL,T1,T2,Previous Go - Video,Previous Go TOT
IDU016,1,901,534,1,8
IDU016,2,934,666,1,8
IDU016,3,867,667,1,8
IDU016,4,768,N/A,2,4
IDU016,5,800,467,1,1
IDU016,6,700,N/A,2,3
IDU016,7,700,534,1,6
IDU016,8,900,434,1,3
IDU016,9,1067,N/A,2,4
IDU016,10,901,367,1,1
IDU016,11,700,367,1,3
IDU016,12,701,501,1,3
IDU016,13,667,N/A,1,1
IDU016,14,634,534,1,1
IDU016,15,800,634,1,4
IDU016,16,534,N/A,1,1
IDU016,17,667,434,1,1
