Times Metric,goNogo_computer Trait,Correlation,P-value
T1_mean,RT_mean,0.2300084691048108,0.3744833859219368
T1_mean,RT_median,0.15267559312055795,0.5585505145204097
T1_mean,RT_std,0.47472466723659834,0.05416381983323726
T1_mean,RT_cv,0.4212181118167007,0.0922115763142208
T1_mean,RT_skew,0.5370724945536093,0.026209334670107547
T1_mean,RT_kurt,0.5270507875247916,0.029711417572067557
T1_mean,RT_iqr,-0.026121914713824274,0.9207287032463506
T1_mean,RT_outlier,-0.09077484381467328,0.7289802427029813
T1_mean,RT_noerrors,-0.23319414460990406,0.36771753692950027
T1_mean,RT_nsamples,-0.06417854364048065,0.8066803725801601
T1_median,RT_mean,0.32601480455324083,0.20158655929350858
T1_median,RT_median,0.2424212841766762,0.3485097242670725
T1_median,RT_std,0.5303346613434126,0.02852644314997078
T1_median,RT_cv,0.4398438842489384,0.077273130342087
T1_median,RT_skew,0.5409689250027627,0.024937427055916034
T1_median,RT_kurt,0.5417202223141175,0.024697777810321564
T1_median,RT_iqr,0.08004080672957345,0.7600847674528585
T1_median,RT_outlier,-0.06172088870153139,0.8139592404399032
T1_median,RT_noerrors,-0.198506962825456,0.445003078536606
T1_median,RT_nsamples,0.07429688258257702,0.7768764181997352
T1_std,RT_mean,0.04039697824482928,0.8776602754199342
T1_std,RT_median,0.041298783072481485,0.8749491410335094
T1_std,RT_std,0.14785478816310244,0.5711803352589543
T1_std,RT_cv,0.13096938642495232,0.6163456574897754
T1_std,RT_skew,-0.0647119527015051,0.8051025266457353
T1_std,RT_kurt,-0.06190877616180726,0.8134022556342809
T1_std,RT_iqr,0.27348976151705906,0.28816501905846303
T1_std,RT_outlier,0.023078123880114237,0.9299428810226958
T1_std,RT_noerrors,0.09687594682285103,0.7114740199983891
T1_std,RT_nsamples,-0.44326204459947316,0.07473605856610717
T1_cv,RT_mean,-0.02925420823080846,0.9112565658871187
T1_cv,RT_median,-0.002172516145176273,0.9933974552333722
T1_cv,RT_std,-0.00586087860241833,0.9821892098273327
T1_cv,RT_cv,-0.007589067768294884,0.9769385281607421
T1_cv,RT_skew,-0.24708631632398054,0.3390206497475147
T1_cv,RT_kurt,-0.24349099367373395,0.3463206119565974
T1_cv,RT_iqr,0.29264616546843353,0.25433575452883994
T1_cv,RT_outlier,0.072422596053731,0.7823763210681794
T1_cv,RT_noerrors,0.18701122647790253,0.4723170172127993
T1_cv,RT_nsamples,-0.42121774640081444,0.09221188833431422
T1_skewness,RT_mean,-0.025867501265980947,0.9214985152408834
T1_skewness,RT_median,-0.0393769388188112,0.8807284124606423
T1_skewness,RT_std,0.17262854912819525,0.5076168682445925
T1_skewness,RT_cv,0.20586468999734991,0.42795536295255326
T1_skewness,RT_skew,0.17614190941789107,0.49888120802143265
T1_skewness,RT_kurt,0.1486884489944325,0.5689875837029613
T1_skewness,RT_iqr,0.005337665701006966,0.9837790104328175
T1_skewness,RT_outlier,-0.2568827173074644,0.3195838279035352
T1_skewness,RT_noerrors,-0.07662189185500384,0.7700678416208825
T1_skewness,RT_nsamples,-0.395445989411532,0.11615676251219718
T1_kurtosis,RT_mean,-0.11548350841971032,0.6589493265161844
T1_kurtosis,RT_median,-0.11105845266180403,0.6713149009855995
T1_kurtosis,RT_std,-0.240322605529312,0.3528273872625439
T1_kurtosis,RT_cv,-0.22102861933593598,0.3939219673439077
T1_kurtosis,RT_skew,-0.14142101799444073,0.5882226478870809
T1_kurtosis,RT_kurt,-0.11317535401220252,0.6653891557136461
T1_kurtosis,RT_iqr,-0.28243247344128075,0.2720500720466018
T1_kurtosis,RT_outlier,0.39834048970313574,0.11326972762362936
T1_kurtosis,RT_noerrors,0.1520966611019215,0.5600607852222874
T1_kurtosis,RT_nsamples,0.22693989517774724,0.3810652011315334
T1_iqr,RT_mean,-0.17812492684290748,0.49398243922854096
T1_iqr,RT_median,-0.15865115674160132,0.543066600231406
T1_iqr,RT_std,0.025537414038219346,0.9224974014069619
T1_iqr,RT_cv,0.1149598870681949,0.6604082817185477
T1_iqr,RT_skew,0.06363320101038261,0.8082942475606532
T1_iqr,RT_kurt,0.02823617384734857,0.9143339484519108
T1_iqr,RT_iqr,0.0006800034851987824,0.9979333663973595
T1_iqr,RT_outlier,-0.03291446698158648,0.9002022332319382
T1_iqr,RT_noerrors,-0.04209394142769196,0.8725597121368134
T1_iqr,RT_nsamples,-0.4330948131624396,0.08246600938027655
T1_outlier,RT_mean,0.3810289430864998,0.1313093580563298
T1_outlier,RT_median,0.37140571607076556,0.1421555250929691
T1_outlier,RT_std,0.24702522887043096,0.33914393787532526
