Times Metric,bis11 Trait,Correlation,P-value
T2_skewness,Impulsivita_mot,-0.060633906259083235,0.7397518955670814
T2_skewness,Impulsivita_non_pian,-0.07520710469952335,0.6786718912649948
T2_kurtosis,Attenzione,0.05646630427963671,0.7654050662596463
T2_kurtosis,Comp_motorio,0.023386170701251204,0.8999167266950987
T2_kurtosis,Autocontrollo,-0.07074562285917116,0.7047944834332134
T2_kurtosis,Compl_cogn,-0.09472634669260088,0.6137731164890039
T2_kurtosis,Perseveranza,-0.22892447905870497,0.22966340403212004
T2_kurtosis,Instabilita_cog,-0.008138962667412649,0.9657068284765877
T2_kurtosis,Impulsivita_cog,0.007731753330571372,0.9666581965497059
T2_kurtosis,Impulsivita_mot,-0.10610933595339565,0.5610259094614841
T2_kurtosis,Impulsivita_non_pian,-0.10528994657933269,0.5619236640334289
T2_iqr,Attenzione,0.25908595603053874,0.17222093580910014
T2_iqr,Comp_motorio,0.06259367024173602,0.7371423883643147
T2_iqr,Autocontrollo,0.047338106833115096,0.8004482819835677
T2_iqr,Compl_cogn,0.4199213748783501,0.025695584796912585
T2_iqr,Perseveranza,0.22156468376279892,0.2463793377739414
T2_iqr,Instabilita_cog,0.3349311056205124,0.07772207154629304
T2_iqr,Impulsivita_cog,0.29489279154715525,0.11191291627540473
T2_iqr,Impulsivita_mot,0.20539595906443728,0.2618519326814911
T2_iqr,Impulsivita_non_pian,0.2491009475118111,0.17123883830585362
T2_outlier,Attenzione,0.08552444210199504,0.6822827463253036
T2_outlier,Comp_motorio,-0.05509922970284786,0.7882307681461856
T2_outlier,Autocontrollo,-0.23150132984005872,0.2611852538746412
T2_outlier,Compl_cogn,-0.027897623781605117,0.8928653970626318
T2_outlier,Perseveranza,-0.11557711927941294,0.5829187578847095
T2_outlier,Instabilita_cog,0.019175887291829265,0.926899520963204
T2_outlier,Impulsivita_cog,-0.009108238758047688,0.9643871066831194
T2_outlier,Impulsivita_mot,-0.15178571428571427,0.4505530502136049
T2_outlier,Impulsivita_non_pian,-0.16833285408535434,0.40003618408542185
T2_nsamples,Attenzione,-0.16186212629068134,0.4590579526743741
T2_nsamples,Comp_motorio,-0.12513585483848821,0.559761062280137
T2_nsamples,Autocontrollo,-0.26288132304221007,0.22259319037395797
T2_nsamples,Compl_cogn,-0.2956720221668581,0.17245725290071967
T2_nsamples,Perseveranza,-0.2734241495373794,0.21447322473391672
T2_nsamples,Instabilita_cog,-0.02177517781546711,0.9206894035317061
T2_nsamples,Impulsivita_cog,-0.10342860047301514,0.6278518076158865
T2_nsamples,Impulsivita_mot,-0.18249909877210782,0.38563389202358833
T2_nsamples,Impulsivita_non_pian,-0.3118769091768943,0.13588664669435552
T1+T2_mean,Attenzione,0.10486599366218247,0.5794734821401908
T1+T2_mean,Comp_motorio,0.22606631677876166,0.224082745466186
T1+T2_mean,Autocontrollo,0.18079436952899297,0.3329501654254522
T1+T2_mean,Compl_cogn,0.14208952003890132,0.4490244559408254
T1+T2_mean,Perseveranza,0.14716573653773893,0.43998594387981016
T1+T2_mean,Instabilita_cog,0.04069481333706325,0.829793210839369
T1+T2_mean,Impulsivita_cog,0.05412227331399961,0.7698283268253775
T1+T2_mean,Impulsivita_mot,0.1667432422124789,0.36097948724349893
T1+T2_mean,Impulsivita_non_pian,0.22562131409857006,0.21393107565111502
T1+T2_median,Attenzione,-0.04857861675572602,0.7979843034825386
T1+T2_median,Comp_motorio,0.15648417560434008,0.40141325550953977
T1+T2_median,Autocontrollo,0.015779368944371697,0.9328531640146512
T1+T2_median,Compl_cogn,-0.02376913442707642,0.8995176731207617
T1+T2_median,Perseveranza,0.09026709338484401,0.6367397891255553
T1+T2_median,Instabilita_cog,0.01633810271319573,0.931425357712902
T1+T2_median,Impulsivita_cog,-0.054322356337633854,0.7696513932794887
T1+T2_median,Impulsivita_mot,0.098894350660655,0.5890355844762589
T1+T2_median,Impulsivita_non_pian,0.0528395949267478,0.7716391720232392
T1+T2_std,Attenzione,0.07259953407381864,0.7012415445468837
T1+T2_std,Comp_motorio,0.10134007303875521,0.5857615297235723
T1+T2_std,Autocontrollo,-0.007860624762130128,0.9664228397702279
T1+T2_std,Compl_cogn,0.07893862224383406,0.6740624465649292
T1+T2_std,Perseveranza,0.06540699401677286,0.7314423376072119
T1+T2_std,Instabilita_cog,0.05697273867188855,0.7634499483965239
T1+T2_std,Impulsivita_cog,0.023195259991714116,0.900207071435448
T1+T2_std,Impulsivita_mot,0.07579238282385405,0.6779754429107876
T1+T2_std,Impulsivita_non_pian,0.07520710469952335,0.6786718912649948
T1+T2_cv,Attenzione,0.07259953407381864,0.7012415445468837
T1+T2_cv,Comp_motorio,-0.023386170701251204,0.8999167266950987
T1+T2_cv,Autocontrollo,-0.11790937143195193,0.5277611205709823
T1+T2_cv,Compl_cogn,0.06315089779506726,0.7365215280004027
T1+T2_cv,Perseveranza,0.0,1.0
T1+T2_cv,Instabilita_cog,0.008138962667412649,0.9657068284765877
T1+T2_cv,Impulsivita_cog,0.007731753330571372,0.9666581965497059
T1+T2_cv,Impulsivita_mot,-0.045475429694312425,0.8032552432216856
T1+T2_cv,Impulsivita_non_pian,-0.03008284187980934,0.8683848194905043
T1+T2_skewness,Attenzione,0.05646630427963671,0.7654050662596463
T1+T2_skewness,Comp_motorio,0.11693085350625601,0.5294585815913914
T1+T2_skewness,Autocontrollo,0.11790937143195193,0.5277611205709823
T1+T2_skewness,Compl_cogn,0.20524041783396857,0.2741718275127708
T1+T2_skewness,Perseveranza,-0.08175874252096606,0.6679163716806076
T1+T2_skewness,Instabilita_cog,0.10580651467636444,0.5762206500976845
T1+T2_skewness,Impulsivita_cog,0.05412227331399961,0.7698283268253775
T1+T2_skewness,Impulsivita_mot,-0.030316953129541618,0.8680853684525341
T1+T2_skewness,Impulsivita_non_pian,0.1654556303389514,0.36208070783101176
T1+T2_kurtosis,Attenzione,-0.024199844691272877,0.8982426063443413
T1+T2_kurtosis,Comp_motorio,0.023386170701251204,0.8999167266950987
T1+T2_kurtosis,Autocontrollo,-0.0550243733349109,0.768248955335749
T1+T2_kurtosis,Compl_cogn,-0.15787724448766813,0.4002592966094849
T1+T2_kurtosis,Perseveranza,0.21257273055451176,0.26466856240915615
T1+T2_kurtosis,Instabilita_cog,0.10580651467636444,0.5762206500976845
T1+T2_kurtosis,Impulsivita_cog,-0.03865876665285686,0.8344485399092844
T1+T2_kurtosis,Impulsivita_mot,0.060633906259083235,0.7397518955670814
T1+T2_kurtosis,Impulsivita_non_pian,-0.12033136751923736,0.5074318717429667
T1+T2_iqr,Attenzione,0.16438232777848866,0.39184011508614747
T1+T2_iqr,Comp_motorio,0.0,1.0
T1+T2_iqr,Autocontrollo,-0.12814771129417996,0.49869512829782336
T1+T2_iqr,Compl_cogn,0.3136808134656105,0.0994440706191503
T1+T2_iqr,Perseveranza,-0.13328706113574576,0.4905769951778669
T1+T2_iqr,Instabilita_cog,0.21561362973831683,0.26155275260304944
T1+T2_iqr,Impulsivita_cog,0.1969481043942529,0.2938275448205875
T1+T2_iqr,Impulsivita_mot,-0.054057680531331344,0.7702756930100008
T1+T2_iqr,Impulsivita_non_pian,0.05364024045769524,0.770777626583945
T1+T2_outlier,Attenzione,0.17346035735931492,0.41134720085598653
T1+T2_outlier,Comp_motorio,-0.019720950710786923,0.9242054236604985
T1+T2_outlier,Autocontrollo,-0.2088028158741041,0.3159351631016052
T1+T2_outlier,Compl_cogn,-0.13979047132184244,0.5042643558450676
T1+T2_outlier,Perseveranza,0.14478455319860536,0.49609169944145237
T1+T2_outlier,Instabilita_cog,0.02059012785608277,0.9223465725121207
T1+T2_outlier,Impulsivita_cog,0.039119921329917304,0.8494864844811718
T1+T2_outlier,Impulsivita_mot,0.02876118708177639,0.8874844752505164
T1+T2_outlier,Impulsivita_non_pian,-0.2187996873110673,0.27899407321578906
T1+T2_nsamples,Attenzione,-0.16186212629068134,0.4590579526743741
T1+T2_nsamples,Comp_motorio,-0.12513585483848821,0.559761062280137
T1+T2_nsamples,Autocontrollo,-0.26288132304221007,0.22259319037395797
T1+T2_nsamples,Compl_cogn,-0.2956720221668581,0.17245725290071967
T1+T2_nsamples,Perseveranza,-0.2734241495373794,0.21447322473391672
T1+T2_nsamples,Instabilita_cog,-0.02177517781546711,0.9206894035317061
T1+T2_nsamples,Impulsivita_cog,-0.10342860047301514,0.6278518076158865
T1+T2_nsamples,Impulsivita_mot,-0.18249909877210782,0.38563389202358833
T1+T2_nsamples,Impulsivita_non_pian,-0.3118769091768943,0.13588664669435552
T3_mean,Attenzione,-0.3468644405749113,0.06680691376044937
T3_mean,Comp_motorio,0.13252163397375682,0.47604560629941306
T3_mean,Autocontrollo,-0.1336306209562122,0.4742274454889479
T3_mean,Compl_cogn,-0.04736317334630044,0.8007724997920603
T3_mean,Perseveranza,-0.06540699401677286,0.7314423376072119
T3_mean,Instabilita_cog,-0.20347406668531626,0.2824490771974152
T3_mean,Impulsivita_cog,-0.3633924065368545,0.04946097221334156
T3_mean,Impulsivita_mot,0.045475429694312425,0.8032552432216856
T3_mean,Impulsivita_non_pian,-0.09024852563942802,0.6190964220245236
T3_median,Attenzione,-0.26817748830908245,0.15888628568277052
T3_median,Comp_motorio,0.18848038376320586,0.3135940589355285
T3_median,Autocontrollo,-0.08710975760966161,0.6428151389484875
T3_median,Compl_cogn,0.0,1.0
T3_median,Perseveranza,0.02470998677466951,0.8974408556480837
T3_median,Instabilita_cog,-0.18858795338629425,0.32200677034743697
T3_median,Impulsivita_cog,-0.2726233746931362,0.14283509186094268
T3_median,Impulsivita_mot,0.13744062490084338,0.4540831912023021
T3_median,Impulsivita_non_pian,-0.04545976381693617,0.8033805333472631
T3_std,Attenzione,0.008066614897090959,0.9659986904981015
T3_std,Comp_motorio,0.22606631677876166,0.224082745466186
T3_std,Autocontrollo,0.08646687238343143,0.6433308629156317
T3_std,Compl_cogn,0.015787724448766815,0.9329643442039969
T3_std,Perseveranza,0.22892447905870497,0.22966340403212004
T3_std,Instabilita_cog,0.008138962667412649,0.9657068284765877
T3_std,Impulsivita_cog,-0.06958577997514236,0.706768731848199
T3_std,Impulsivita_mot,0.1667432422124789,0.36097948724349893
T3_std,Impulsivita_non_pian,0.06016568375961868,0.74032657565858
T3_cv,Attenzione,0.23393183201563783,0.2163880923409015
T3_cv,Comp_motorio,0.023386170701251204,0.8999167266950987
T3_cv,Autocontrollo,0.3222856152473353,0.08436513567255681
T3_cv,Compl_cogn,0.12630179559013452,0.5009939981227101
T3_cv,Perseveranza,0.26162797606709143,0.1698051604158397
T3_cv,Instabilita_cog,-0.05697273867188855,0.7634499483965239
T3_cv,Impulsivita_cog,0.023195259991714116,0.900207071435448
T3_cv,Impulsivita_mot,0.07579238282385405,0.6779754429107876
T3_cv,Impulsivita_non_pian,0.3008284187980934,0.09749834344924561
T3_skewness,Attenzione,0.07259953407381864,0.7012415445468837
T3_skewness,Comp_motorio,0.023386170701251204,0.8999167266950987
T3_skewness,Autocontrollo,0.1336306209562122,0.4742274454889479
T3_skewness,Compl_cogn,0.04736317334630044,0.8007724997920603
T3_skewness,Perseveranza,-0.03270349700838643,0.863749045952914
T3_skewness,Instabilita_cog,0.13836236534601504,0.46484812420274446
T3_skewness,Impulsivita_cog,0.17783032660314158,0.3363519766191384
T3_skewness,Impulsivita_mot,-0.09095085938862485,0.6182917208464238
T3_skewness,Impulsivita_non_pian,0.18049705127885604,0.3200949811905851
T3_kurtosis,Attenzione,0.16939891283891015,0.37069526463969904
T3_kurtosis,Comp_motorio,0.19488475584376005,0.29461348843319846
T3_kurtosis,Autocontrollo,0.22795811810177374,0.2221770565112372
T3_kurtosis,Compl_cogn,0.0,1.0
T3_kurtosis,Perseveranza,0.08175874252096606,0.6679163716806076
T3_kurtosis,Instabilita_cog,0.008138962667412649,0.9657068284765877
T3_kurtosis,Impulsivita_cog,0.14690331328085607,0.4270798621957339
T3_kurtosis,Impulsivita_mot,0.24253562503633294,0.1839378301140009
T3_kurtosis,Impulsivita_non_pian,0.1504142093990467,0.40735780874248184
T3_iqr,Attenzione,0.11419918209207265,0.5497483160030163
T3_iqr,Comp_motorio,0.03153127161905891,0.866517654852408
T3_iqr,Autocontrollo,0.11923176087314083,0.52679825316277
T3_iqr,Compl_cogn,0.07184154859834442,0.7043940954855743
T3_iqr,Perseveranza,0.19842166000875217,0.3021051807775538
T3_iqr,Instabilita_cog,-0.08230243607705241,0.6665339424764704
T3_iqr,Impulsivita_cog,-0.01563693458874603,0.9332164720863347
T3_iqr,Impulsivita_mot,0.08430665917918279,0.6470487295538322
T3_iqr,Impulsivita_non_pian,0.06844551771529829,0.7085758696375526
T3_outlier,Attenzione,-0.2315894685694192,0.2850757168743344
T3_outlier,Comp_motorio,0.23499284641508975,0.26912553104024317
T3_outlier,Autocontrollo,-0.04513511391108638,0.8326506052670906
T3_outlier,Compl_cogn,-0.1699723534122512,0.4286913059259507
T3_outlier,Perseveranza,-0.03520893951097652,0.8718504875113857
T3_outlier,Instabilita_cog,0.07009996372327816,0.746359756639313
T3_outlier,Impulsivita_cog,-0.06659271582120269,0.7528207587590396
T3_outlier,Impulsivita_mot,0.16319780245846668,0.43376714761546575
T3_outlier,Impulsivita_non_pian,-0.043183351708753044,0.8349683170311264
T3_nsamples,Attenzione,-0.1558806757130176,0.43327372060957403
T3_nsamples,Comp_motorio,0.03347544065084813,0.863965320192478
T3_nsamples,Autocontrollo,0.11814451160815981,0.5471339836314648
T3_nsamples,Compl_cogn,-0.18644067796610173,0.3445891921651719
T3_nsamples,Perseveranza,-0.2545427030447811,0.20395724545235583
T3_nsamples,Instabilita_cog,-0.183491859445649,0.3565046221928607
T3_nsamples,Impulsivita_cog,-0.23241517023325783,0.2317102714028224
T3_nsamples,Impulsivita_mot,-0.12205210404452237,0.5243415736628367
T3_nsamples,Impulsivita_non_pian,0.016147947019964578,0.9324944933917925
