Times Metric,stroop_congruent Trait,Correlation,P-value
T2_std,RT_cv,0.02941176470588235,0.9031966906069087
T2_std,RT_skew,0.0588235294117647,0.7764940676883935
T2_std,RT_kurt,-0.0588235294117647,0.7764940676883935
T2_std,RT_iqr,-0.24999999999999997,0.17665741934030035
T2_std,RT_outlier,-0.21144565026396508,0.29229623661850057
T2_std,RT_noerrors,,
T2_std,RT_nsamples,,
T2_cv,RT_mean,-0.5147058823529411,0.0033456623826434947
T2_cv,RT_median,-0.4705882352941176,0.007921135981245789
T2_cv,RT_std,-0.16176470588235295,0.3927276123262421
T2_cv,RT_cv,0.10294117647058822,0.5976439315443395
T2_cv,RT_skew,0.13235294117647056,0.4896069682169023
T2_cv,RT_kurt,-0.044117647058823525,0.8393415533036079
T2_cv,RT_iqr,-0.2352941176470588,0.20489900152579948
T2_cv,RT_outlier,-0.06435302399338068,0.7485832800825087
T2_cv,RT_noerrors,,
T2_cv,RT_nsamples,,
T2_skewness,RT_mean,-0.5294117647058822,0.0024551285640838213
T2_skewness,RT_median,-0.45588235294117646,0.010340361794472324
T2_skewness,RT_std,-0.14705882352941174,0.43968652710486045
T2_skewness,RT_cv,0.20588235294117643,0.27056053596407176
T2_skewness,RT_skew,-0.02941176470588235,0.9031966906069087
T2_skewness,RT_kurt,-0.20588235294117643,0.27056053596407176
T2_skewness,RT_iqr,-0.13235294117647056,0.4896069682169023
T2_skewness,RT_outlier,-0.15628591541249592,0.43634707137990536
T2_skewness,RT_noerrors,,
T2_skewness,RT_nsamples,,
T2_kurtosis,RT_mean,-0.4411764705882352,0.013367514323499561
T2_kurtosis,RT_median,-0.338235294117647,0.06302241248726353
T2_kurtosis,RT_std,-0.08823529411764705,0.6553075802476113
T2_kurtosis,RT_cv,0.1764705882352941,0.34884640290128766
T2_kurtosis,RT_skew,-0.08823529411764705,0.6553075802476113
T2_kurtosis,RT_kurt,-0.2352941176470588,0.20489900152579948
T2_kurtosis,RT_iqr,-0.10294117647058822,0.5976439315443395
T2_kurtosis,RT_outlier,-0.13789933712867286,0.4922069926558157
T2_kurtosis,RT_noerrors,,
T2_kurtosis,RT_nsamples,,
T2_iqr,RT_mean,-0.095941612600177,0.5919868384147184
T2_iqr,RT_median,-0.051660868323172224,0.7728925885694502
T2_iqr,RT_std,-0.0369006202308373,0.836683035334292
T2_iqr,RT_cv,0.051660868323172224,0.7728925885694502
T2_iqr,RT_skew,0.06642111641550714,0.7106013435270542
T2_iqr,RT_kurt,-0.051660868323172224,0.7728925885694502
T2_iqr,RT_iqr,0.095941612600177,0.5919868384147184
T2_iqr,RT_outlier,-0.16609095970747995,0.40953251417605063
T2_iqr,RT_noerrors,,
T2_iqr,RT_nsamples,,
T2_outlier,RT_mean,-0.43309933042202314,0.02752598818547381
T2_outlier,RT_median,-0.48507125007266594,0.013569816094071081
T2_outlier,RT_std,-0.17323973216880928,0.37799821367275654
T2_outlier,RT_cv,0.10394383930128556,0.5968370904276888
T2_outlier,RT_skew,0.1385917857350474,0.4806406587786993
T2_outlier,RT_kurt,0.1385917857350474,0.4806406587786993
T2_outlier,RT_iqr,-0.41577535720514225,0.034360327224799876
T2_outlier,RT_outlier,0.10829972051127192,0.6260563195450126
T2_outlier,RT_noerrors,,
T2_outlier,RT_nsamples,,
T2_nsamples,RT_mean,0.17705013195704256,0.3886634945233082
T2_nsamples,RT_median,0.13770565818881086,0.5025528715982597
T2_nsamples,RT_std,0.29508355326173763,0.15079204729986095
T2_nsamples,RT_cv,0.27541131637762173,0.1799344791719225
T2_nsamples,RT_skew,-0.07868894753646336,0.7016229956930677
T2_nsamples,RT_kurt,-0.03934447376823168,0.8480827592882225
T2_nsamples,RT_iqr,0.27541131637762173,0.1799344791719225
T2_nsamples,RT_outlier,0.3689392259574613,0.11300421159780641
T2_nsamples,RT_noerrors,,
T2_nsamples,RT_nsamples,,
T1+T2_mean,RT_mean,-0.02941176470588235,0.9031966906069087
T1+T2_mean,RT_median,0.014705882352941175,0.9676638168395322
T1+T2_mean,RT_std,-0.0588235294117647,0.7764940676883935
T1+T2_mean,RT_cv,-0.0588235294117647,0.7764940676883935
T1+T2_mean,RT_skew,-0.2352941176470588,0.20489900152579948
T1+T2_mean,RT_kurt,-0.1176470588235294,0.5423278567488096
T1+T2_mean,RT_iqr,-0.07352941176470587,0.7150317752938318
T1+T2_mean,RT_outlier,-0.22983222854778815,0.25234531704289753
T1+T2_mean,RT_noerrors,,
T1+T2_mean,RT_nsamples,,
T1+T2_median,RT_mean,0.12546210878484682,0.4833844270683305
T1+T2_median,RT_median,0.14022235687718176,0.4334364066694898
T1+T2_median,RT_std,0.095941612600177,0.5919868384147184
T1+T2_median,RT_cv,-0.0369006202308373,0.836683035334292
T1+T2_median,RT_skew,-0.25830434161586113,0.1490298444997622
T1+T2_median,RT_kurt,-0.08118136450784207,0.6501859872228386
T1+T2_median,RT_iqr,0.0369006202308373,0.836683035334292
T1+T2_median,RT_outlier,-0.1107273064716533,0.5824489746972422
T1+T2_median,RT_noerrors,,
T1+T2_median,RT_nsamples,,
T1+T2_std,RT_mean,-0.49999999999999994,0.004507537046975066
T1+T2_std,RT_median,-0.48529411764705876,0.00600683882392195
T1+T2_std,RT_std,-0.14705882352941174,0.43968652710486045
T1+T2_std,RT_cv,0.08823529411764705,0.6553075802476113
T1+T2_std,RT_skew,-0.08823529411764705,0.6553075802476113
T1+T2_std,RT_kurt,-0.2352941176470588,0.20489900152579948
T1+T2_std,RT_iqr,-0.16176470588235295,0.3927276123262421
T1+T2_std,RT_outlier,-0.34015169825072644,0.09024369430593843
T1+T2_std,RT_noerrors,,
T1+T2_std,RT_nsamples,,
T1+T2_cv,RT_mean,-0.5588235294117646,0.0012750331727878694
T1+T2_cv,RT_median,-0.5441176470588235,0.0017803239418771048
T1+T2_cv,RT_std,-0.20588235294117643,0.27056053596407176
T1+T2_cv,RT_cv,0.0588235294117647,0.7764940676883935
T1+T2_cv,RT_skew,0.0,1.0
T1+T2_cv,RT_kurt,-0.14705882352941174,0.43968652710486045
T1+T2_cv,RT_iqr,-0.2794117647058823,0.12878898834482916
T1+T2_cv,RT_outlier,-0.30337854168308037,0.13079706180685857
T1+T2_cv,RT_noerrors,,
T1+T2_cv,RT_nsamples,,
T1+T2_skewness,RT_mean,-0.5147058823529411,0.0033456623826434947
T1+T2_skewness,RT_median,-0.3529411764705882,0.05175324945907756
T1+T2_skewness,RT_std,-0.2794117647058823,0.12878898834482916
T1+T2_skewness,RT_cv,-0.07352941176470587,0.7150317752938318
T1+T2_skewness,RT_skew,-0.19117647058823525,0.30811454449876985
T1+T2_skewness,RT_kurt,-0.24999999999999997,0.17665741934030035
T1+T2_skewness,RT_iqr,-0.1764705882352941,0.34884640290128766
T1+T2_skewness,RT_outlier,-0.24821880683161118,0.216367480257598
T1+T2_skewness,RT_noerrors,,
T1+T2_skewness,RT_nsamples,,
T1+T2_kurtosis,RT_mean,-0.2941176470588235,0.10886459480774507
T1+T2_kurtosis,RT_median,-0.19117647058823525,0.30811454449876985
T1+T2_kurtosis,RT_std,-0.2941176470588235,0.10886459480774507
T1+T2_kurtosis,RT_cv,-0.08823529411764705,0.6553075802476113
T1+T2_kurtosis,RT_skew,-0.3529411764705882,0.05175324945907756
T1+T2_kurtosis,RT_kurt,-0.3235294117647059,0.07616914862439772
T1+T2_kurtosis,RT_iqr,-0.014705882352941175,0.9676638168395322
T1+T2_kurtosis,RT_outlier,-0.41369801138601864,0.039359508888249725
T1+T2_kurtosis,RT_noerrors,,
T1+T2_kurtosis,RT_nsamples,,
T1+T2_iqr,RT_mean,-0.11237925716297878,0.5346775060843156
T1+T2_iqr,RT_median,-0.1273631581180426,0.4816408910812593
T1+T2_iqr,RT_std,0.11237925716297878,0.5346775060843156
T1+T2_iqr,RT_cv,0.20228266289336178,0.26374344865550314
T1+T2_iqr,RT_skew,0.0824114552528511,0.6488839324284439
T1+T2_iqr,RT_kurt,-0.022475851432595752,0.901175665626171
T1+T2_iqr,RT_iqr,0.09739535620791494,0.5905097962264776
T1+T2_iqr,RT_outlier,-0.018734181417698594,0.9267473410184461
T1+T2_iqr,RT_noerrors,,
T1+T2_iqr,RT_nsamples,,
T1+T2_outlier,RT_mean,-0.3069269493692839,0.12212105747986682
T1+T2_outlier,RT_median,-0.41853674913993255,0.035023316209795284
T1+T2_outlier,RT_std,-0.08370734982798651,0.6733040530278764
T1+T2_outlier,RT_cv,0.10230898312309462,0.6063360101903987
T1+T2_outlier,RT_skew,0.08370734982798651,0.6733040530278764
T1+T2_outlier,RT_kurt,0.17671551630352708,0.37342190957026444
T1+T2_outlier,RT_iqr,-0.2883253160741758,0.14643519153898515
T1+T2_outlier,RT_outlier,0.011628693150774139,0.9587197813201793
T1+T2_outlier,RT_noerrors,,
T1+T2_outlier,RT_nsamples,,
T1+T2_nsamples,RT_mean,0.17705013195704256,0.3886634945233082
T1+T2_nsamples,RT_median,0.13770565818881086,0.5025528715982597
T1+T2_nsamples,RT_std,0.29508355326173763,0.15079204729986095
T1+T2_nsamples,RT_cv,0.27541131637762173,0.1799344791719225
T1+T2_nsamples,RT_skew,-0.07868894753646336,0.7016229956930677
T1+T2_nsamples,RT_kurt,-0.03934447376823168,0.8480827592882225
T1+T2_nsamples,RT_iqr,0.27541131637762173,0.1799344791719225
T1+T2_nsamples,RT_outlier,0.3689392259574613,0.11300421159780641
T1+T2_nsamples,RT_noerrors,,
T1+T2_nsamples,RT_nsamples,,
T3_mean,RT_mean,-0.10294117647058822,0.5976439315443395
T3_mean,RT_median,-0.1176470588235294,0.5423278567488096
T3_mean,RT_std,-0.13235294117647056,0.4896069682169023
T3_mean,RT_cv,-0.07352941176470587,0.7150317752938318
T3_mean,RT_skew,-0.2794117647058823,0.12878898834482916
T3_mean,RT_kurt,-0.16176470588235295,0.3927276123262421
T3_mean,RT_iqr,-0.0588235294117647,0.7764940676883935
T3_mean,RT_outlier,-0.24821880683161118,0.216367480257598
T3_mean,RT_noerrors,,
T3_mean,RT_nsamples,,
T3_median,RT_mean,-0.17778265528378795,0.3220251244211586
T3_median,RT_median,-0.13333699146284095,0.45764597664775997
T3_median,RT_std,-0.08889132764189397,0.6204925212695193
T3_median,RT_cv,-0.08889132764189397,0.6204925212695193
T3_median,RT_skew,-0.3259348680202779,0.06943805730030701
T3_median,RT_kurt,-0.2370435403783839,0.18669933451529774
T3_median,RT_iqr,-0.014815221273648994,0.9342289159609931
T3_median,RT_outlier,-0.32415745863072837,0.1085612915897696
T3_median,RT_noerrors,,
T3_median,RT_nsamples,,
T3_std,RT_mean,-0.24999999999999997,0.17665741934030035
T3_std,RT_median,-0.08823529411764705,0.6553075802476113
T3_std,RT_std,-0.2794117647058823,0.12878898834482916
T3_std,RT_cv,-0.16176470588235295,0.3927276123262421
T3_std,RT_skew,-0.2794117647058823,0.12878898834482916
T3_std,RT_kurt,-0.16176470588235295,0.3927276123262421
T3_std,RT_iqr,-0.1764705882352941,0.34884640290128766
T3_std,RT_outlier,-0.24821880683161118,0.216367480257598
T3_std,RT_noerrors,,
T3_std,RT_nsamples,,
T3_cv,RT_mean,-0.2205882352941176,0.23617204064651248
T3_cv,RT_median,-0.1176470588235294,0.5423278567488096
T3_cv,RT_std,-0.30882352941176466,0.09138624889203259
T3_cv,RT_cv,-0.2205882352941176,0.23617204064651248
T3_cv,RT_skew,-0.07352941176470587,0.7150317752938318
T3_cv,RT_kurt,0.044117647058823525,0.8393415533036079
T3_cv,RT_iqr,-0.3235294117647059,0.07616914862439772
T3_cv,RT_outlier,-0.10112618056102679,0.614503553887473
T3_cv,RT_noerrors,,
T3_cv,RT_nsamples,,
T3_skewness,RT_mean,0.014705882352941175,0.9676638168395322
T3_skewness,RT_median,0.0588235294117647,0.7764940676883935
T3_skewness,RT_std,-0.07352941176470587,0.7150317752938318
T3_skewness,RT_cv,-0.014705882352941175,0.9676638168395322
T3_skewness,RT_skew,-0.24999999999999997,0.17665741934030035
T3_skewness,RT_kurt,-0.2794117647058823,0.12878898834482916
T3_skewness,RT_iqr,0.0588235294117647,0.7764940676883935
T3_skewness,RT_outlier,-0.11951275884484983,0.5516903341055708
T3_skewness,RT_noerrors,,
T3_skewness,RT_nsamples,,
T3_kurtosis,RT_mean,-0.16176470588235295,0.3927276123262421
T3_kurtosis,RT_median,-0.14705882352941174,0.43968652710486045
T3_kurtosis,RT_std,0.044117647058823525,0.8393415533036079
T3_kurtosis,RT_cv,0.19117647058823525,0.30811454449876985
T3_kurtosis,RT_skew,-0.10294117647058822,0.5976439315443395
T3_kurtosis,RT_kurt,-0.10294117647058822,0.5976439315443395
T3_kurtosis,RT_iqr,0.08823529411764705,0.6553075802476113
T3_kurtosis,RT_outlier,0.027579867425734574,0.8907458009320663
T3_kurtosis,RT_noerrors,,
T3_kurtosis,RT_nsamples,,
T3_iqr,RT_mean,-0.15614353958316804,0.38580209907850915
T3_iqr,RT_median,-0.03717703323408763,0.8364086626158695
T3_iqr,RT_std,-0.34946411240042374,0.05225826101157347
T3_iqr,RT_cv,-0.2602392326386134,0.14833836792616387
T3_iqr,RT_skew,-0.141272726289533,0.43265315873173793
T3_iqr,RT_kurt,0.007435406646817526,0.9670584269636313
T3_iqr,RT_iqr,-0.2602392326386134,0.14833836792616387
T3_iqr,RT_outlier,-0.14874231478554034,0.4629073848970321
T3_iqr,RT_noerrors,,
T3_iqr,RT_nsamples,,
T3_outlier,RT_mean,0.0844400661841498,0.6783024655972324
T3_outlier,RT_median,-0.02111001654603745,0.917411260192041
T3_outlier,RT_std,0.2111001654603745,0.2997583700887151
T3_outlier,RT_cv,0.2111001654603745,0.2997583700887151
T3_outlier,RT_skew,-0.10555008273018725,0.6041263073291684
T3_outlier,RT_kurt,-0.1266600992762247,0.5338294217441396
T3_outlier,RT_iqr,0.0844400661841498,0.6783024655972324
T3_outlier,RT_outlier,0.06598396520540797,0.7748179559664311
T3_outlier,RT_noerrors,,
T3_outlier,RT_nsamples,,
T3_nsamples,RT_mean,-0.1105140711413677,0.5552878239706487
T3_nsamples,RT_median,0.04736317334630044,0.8004266111528042
T3_nsamples,RT_std,-0.09472634669260088,0.6131444658484531
T3_nsamples,RT_cv,-0.04736317334630044,0.8004266111528042
T3_nsamples,RT_skew,-0.29996676452656945,0.10936913009315687
T3_nsamples,RT_kurt,-0.25260359118026904,0.17758115759831739
T3_nsamples,RT_iqr,0.03157544889753363,0.8661663306801042
T3_nsamples,RT_outlier,0.09869595871023058,0.6405270334905351
T3_nsamples,RT_noerrors,,
T3_nsamples,RT_nsamples,,
