SUBJECT,RT_mean,RT_median,RT_std,RT_cv,RT_skew,RT_kurt,RT_iqr,RT_outlier,RT_noerrors,RT_nsamples
IDU002,730.3333333333334,711.5,166.1637920760761,0.22751774360028676,0.5512145773360704,-0.09698077724231968,172.5,2,0,24
IDU008,989.8333333333334,940.5,179.12193239987857,0.18096170978266904,1.5525752670692354,2.0853339432665976,123.25,2,0,24
IDU011,1122.5416666666667,1012.0,338.4903799502145,0.3015392568503451,2.0306262893050193,4.115553406059254,238.75,2,0,24
IDU013,1141.0416666666667,1125.5,278.68206587539805,0.24423478477303462,0.3098413135426792,-1.0718757563214474,419.25,0,0,24
IDU015,724.2083333333334,721.5,162.7032452488049,0.22466359162138644,-0.07134092684128071,-0.4725913179193455,221.5,0,0,24
IDU017,682.0454545454545,606.5,192.08145030112502,0.28162558524656783,1.0765472746783704,1.0367255019866022,219.0,1,2,22
IDU019,918.2173913043479,870.0,243.65791155965496,0.2653597218557727,1.2611555319809606,1.6201406728926484,274.5,1,1,23
IDU021,1023.125,1012.0,171.33651416716904,0.16746391122020188,0.35171671839748253,-0.685185107224672,249.75,0,0,24
IDU024,1002.7916666666666,1012.0,81.36871483330181,0.08114219287818356,0.22621984411171986,-0.7144049204739922,129.25,0,0,24
IDU025,803.4583333333334,816.5,126.16896165086709,0.15703236423900896,0.22949399007410207,-0.7822669790451005,231.5,0,0,24
IDU027,645.7391304347826,626.0,103.64283836649801,0.16050264492522584,0.7153165306079556,-0.2540586558829929,145.5,0,1,23
IDU029,803.625,821.5,235.85032329848522,0.2934830590119586,0.052985521033812974,-1.2624080548779757,439.25,0,0,24
IDU031,733.3333333333334,655.0,235.8141616624831,0.321564765903386,2.411698373451811,6.416584143926045,192.5,1,0,24
IDU033,1084.9166666666667,1017.5,317.71109609157526,0.29284377856201727,2.0589283337844546,5.278485816346054,280.0,1,0,24
IDU035,781.875,775.0,128.43076717251884,0.16425997400162282,0.6538217217511489,-0.34343708067846945,165.0,0,0,24
IDU037,1634.375,1677.5,373.9759132559905,0.22881891442049132,-0.03632305836753401,-1.0582599545323903,621.75,0,0,24
IDU038,1229.608695652174,1246.0,261.9867691195032,0.21306515645658122,0.0032422795178297394,-0.5438495967805834,286.0,0,1,23
IDU040,1288.7916666666667,1202.5,374.36531555788343,0.2904777593155476,0.7430344166400576,-0.6047137835372998,543.5,0,0,24
ALL,964.2708333333334,909.5,342.2753850923832,0.3549577289496466,1.2967665985478802,2.044266554318839,373.0,22,5,432
