SUBJECT,TRIAL,WORD,COLOR,CONGRUENT,ANSWER,CORRECT,REACTION TIME,TIMESTAMP
IDU015,3,VERDE,GIALLO,0,g,1,820,1716546524721
IDU015,4,BLU,GIALLO,0,g,1,734,1716546525980
IDU015,5,GIALLO,GIALLO,1,g,1,430,1716546526950
IDU015,6,BLU,VERDE,0,v,1,833,1716546528309
IDU015,7,GIALLO,GIALLO,1,g,1,716,1716546529547
IDU015,8,GIALLO,GIALLO,1,g,1,809,1716546530900
IDU015,9,GIALLO,VERDE,0,v,1,1022,1716546532463
IDU015,10,VERDE,VERDE,1,v,1,450,1716546533482
IDU015,11,VERDE,ROSSO,0,r,1,690,1716546534696
IDU015,12,VERDE,VERDE,1,v,1,674,1716546535931
IDU015,13,BLU,BLU,1,b,1,852,1716546537331
IDU015,14,ROSSO,VERDE,0,v,1,809,1716546538664
IDU015,15,ROSSO,ROSSO,1,r,1,617,1716546539805
IDU015,16,ROSSO,ROSSO,1,r,1,447,1716546540778
IDU015,17,GIALLO,BLU,0,b,1,1033,1716546542334
IDU015,18,BLU,BLU,1,b,1,585,1716546543486
IDU015,19,BLU,BLU,1,b,1,572,1716546544582
IDU015,20,ROSSO,GIALLO,0,g,1,667,1716546545772
IDU015,21,ROSSO,BLU,0,b,1,879,1716546547175
IDU015,22,GIALLO,ROSSO,0,r,1,690,1716546548391
IDU015,23,BLU,ROSSO,0,r,1,611,1716546549527
IDU015,24,VERDE,BLU,0,b,1,865,1716546550916
IDU017,1,VERDE,GIALLO,0,v,0,831,1716821026990
IDU017,2,ROSSO,ROSSO,1,r,1,929,1716821028444
IDU017,3,BLU,BLU,1,b,1,757,1716821029726
IDU017,4,BLU,GIALLO,0,g,1,874,1716821031123
IDU017,5,BLU,BLU,1,b,1,1229,1716821032877
IDU017,6,ROSSO,VERDE,0,v,1,942,1716821034343
IDU017,7,GIALLO,VERDE,0,v,1,486,1716821035352
IDU017,8,GIALLO,ROSSO,0,r,1,479,1716821036356
IDU017,9,GIALLO,GIALLO,1,g,1,591,1716821037470
IDU017,10,BLU,VERDE,0,v,1,609,1716821038603
IDU017,11,VERDE,BLU,0,r,0,595,1716821039722
IDU017,12,ROSSO,ROSSO,1,r,1,604,1716821040850
IDU017,13,VERDE,VERDE,1,v,1,647,1716821042021
IDU017,14,VERDE,VERDE,1,v,1,406,1716821042950
IDU017,15,ROSSO,ROSSO,1,r,1,530,1716821044004
IDU017,16,VERDE,ROSSO,0,r,1,582,1716821045109
IDU017,17,ROSSO,BLU,0,b,1,777,1716821046410
IDU017,18,GIALLO,GIALLO,1,g,1,787,1716821047721
IDU017,19,GIALLO,BLU,0,b,1,769,1716821049014
IDU017,20,VERDE,VERDE,1,v,1,569,1716821050106
IDU017,21,ROSSO,GIALLO,0,g,1,568,1716821051198
IDU017,22,BLU,ROSSO,0,r,1,767,1716821052488
IDU017,23,BLU,BLU,1,b,1,551,1716821053563
IDU017,24,GIALLO,GIALLO,1,g,1,552,1716821054638
IDU019,1,GIALLO,GIALLO,1,g,1,1050,1717496497268
IDU019,2,VERDE,VERDE,1,v,1,883,1717496498675
IDU019,3,BLU,VERDE,0,v,1,973,1717496500173
IDU019,4,VERDE,BLU,0,b,1,1001,1717496501698
IDU019,5,GIALLO,ROSSO,0,r,1,1303,1717496503527
IDU019,6,ROSSO,BLU,0,b,1,1091,1717496505150
IDU019,7,ROSSO,ROSSO,1,r,1,870,1717496506543
IDU019,8,GIALLO,BLU,0,b,1,1028,1717496508095
IDU019,9,BLU,BLU,1,b,1,798,1717496509417
IDU019,10,ROSSO,ROSSO,1,r,1,827,1717496510768
IDU019,11,BLU,BLU,1,b,1,656,1717496511953
IDU019,12,ROSSO,ROSSO,1,r,1,752,1717496513229
IDU019,13,GIALLO,GIALLO,1,g,1,616,1717496514369
IDU019,14,VERDE,VERDE,1,v,1,655,1717496515549
IDU019,15,BLU,BLU,1,b,1,679,1717496516751
IDU019,16,GIALLO,GIALLO,1,g,1,841,1717496518129
IDU019,17,VERDE,VERDE,1,v,1,711,1717496519364
IDU019,18,VERDE,GIALLO,0,g,1,904,1717496520792
IDU019,19,VERDE,ROSSO,0,r,1,750,1717496522066
IDU019,20,BLU,ROSSO,0,b,0,772,1717496523362
IDU019,21,ROSSO,VERDE,0,v,1,1646,1717496525532
IDU019,22,GIALLO,VERDE,0,v,1,1260,1717496527315
IDU019,23,ROSSO,GIALLO,0,g,1,1023,1717496528863
IDU019,24,BLU,GIALLO,0,g,1,802,1717496530189
IDU021,1,VERDE,BLU,0,b,1,1265,1721315281395
IDU021,2,ROSSO,ROSSO,1,r,1,978,1721315282898
IDU021,3,ROSSO,VERDE,0,v,1,1041,1721315284461
IDU021,4,VERDE,ROSSO,0,r,1,1204,1721315286190
IDU021,5,GIALLO,BLU,0,b,1,1225,1721315287939
IDU021,6,ROSSO,GIALLO,0,g,1,1163,1721315289626
IDU021,7,BLU,GIALLO,0,g,1,788,1721315290938
IDU021,8,ROSSO,ROSSO,1,r,1,988,1721315292450
IDU021,9,GIALLO,GIALLO,1,g,1,1118,1721315294092
IDU021,10,BLU,ROSSO,0,r,1,1415,1721315296029
IDU021,11,GIALLO,VERDE,0,v,1,1087,1721315297640
IDU021,12,VERDE,VERDE,1,v,1,1001,1721315299165
IDU021,13,VERDE,VERDE,1,v,1,870,1721315300558
IDU021,14,BLU,BLU,1,b,1,902,1721315301983
IDU021,15,BLU,VERDE,0,v,1,1023,1721315303532
IDU021,16,ROSSO,ROSSO,1,r,1,880,1721315304937
IDU021,17,GIALLO,ROSSO,0,r,1,1118,1721315306580
IDU021,18,BLU,BLU,1,b,1,1115,1721315308218
IDU021,19,ROSSO,BLU,0,b,1,878,1721315309619
IDU021,20,BLU,BLU,1,b,1,813,1721315310955
IDU021,21,VERDE,GIALLO,0,g,1,1206,1721315312685
IDU021,22,VERDE,VERDE,1,v,1,786,1721315313995
IDU021,23,GIALLO,GIALLO,1,g,1,888,1721315315406
IDU021,24,GIALLO,GIALLO,1,g,1,803,1721315316732
IDU024,1,ROSSO,GIALLO,0,g,1,1026,1725875159335
IDU024,2,ROSSO,ROSSO,1,r,1,972,1725875160831
IDU024,3,GIALLO,GIALLO,1,g,1,1023,1725875162377
IDU024,4,BLU,BLU,1,b,1,954,1725875163857
IDU024,5,BLU,BLU,1,b,1,857,1725875165239
IDU024,6,ROSSO,BLU,0,b,1,1114,1725875166876
IDU024,7,VERDE,VERDE,1,v,1,929,1725875168330
IDU024,8,GIALLO,VERDE,0,v,1,1115,1725875169969
IDU024,9,GIALLO,ROSSO,0,r,1,1101,1725875171594
IDU024,10,GIALLO,GIALLO,1,g,1,930,1725875173048
IDU024,11,ROSSO,VERDE,0,v,1,1060,1725875174633
IDU024,12,GIALLO,GIALLO,1,g,1,954,1725875176113
IDU024,13,VERDE,BLU,0,b,1,972,1725875177609
IDU024,14,BLU,GIALLO,0,g,1,1002,1725875179136
IDU024,15,GIALLO,BLU,0,b,1,1029,1725875180691
IDU024,16,BLU,BLU,1,b,1,911,1725875182126
IDU024,17,VERDE,GIALLO,0,g,1,1022,1725875183672
IDU024,18,BLU,ROSSO,0,r,1,1043,1725875185240
IDU024,19,BLU,VERDE,0,v,1,1178,1725875186941
IDU024,20,VERDE,VERDE,1,v,1,909,1725875188374
IDU024,21,ROSSO,ROSSO,1,r,1,1060,1725875189960
IDU024,22,VERDE,VERDE,1,v,1,900,1725875191384
IDU024,23,VERDE,ROSSO,0,r,1,1075,1725875192982
IDU024,24,ROSSO,ROSSO,1,r,1,931,1725875194438
IDU025,1,VERDE,VERDE,1,v,1,923,1726566186058
IDU025,2,BLU,GIALLO,0,g,1,1008,1726566187590
IDU025,3,GIALLO,ROSSO,0,r,1,917,1726566189032
IDU025,4,ROSSO,BLU,0,b,1,834,1726566190389
IDU025,5,BLU,VERDE,0,v,1,823,1726566191738
IDU025,6,BLU,BLU,1,b,1,665,1726566192928
IDU025,7,GIALLO,VERDE,0,v,1,1072,1726566194525
IDU025,8,BLU,BLU,1,b,1,759,1726566195809
IDU025,9,BLU,ROSSO,0,r,1,817,1726566197150
IDU025,10,VERDE,ROSSO,0,r,1,681,1726566198356
IDU025,11,ROSSO,ROSSO,1,r,1,656,1726566199537
IDU025,12,GIALLO,GIALLO,1,g,1,816,1726566200877
IDU025,13,BLU,BLU,1,b,1,784,1726566202186
IDU025,14,VERDE,GIALLO,0,g,1,919,1726566203628
IDU025,15,ROSSO,VERDE,0,v,1,941,1726566205093
IDU025,16,GIALLO,GIALLO,1,g,1,910,1726566206528
IDU025,17,ROSSO,ROSSO,1,r,1,873,1726566207924
IDU025,18,ROSSO,GIALLO,0,g,1,845,1726566209294
IDU025,19,GIALLO,BLU,0,b,1,678,1726566210498
IDU025,20,VERDE,VERDE,1,v,1,647,1726566211668
IDU025,21,ROSSO,ROSSO,1,r,1,714,1726566212907
IDU025,22,VERDE,VERDE,1,v,1,735,1726566214166
IDU025,23,VERDE,BLU,0,b,1,589,1726566215278
IDU025,24,GIALLO,GIALLO,1,g,1,677,1726566216479
IDU027,1,GIALLO,GIALLO,1,g,1,722,1726758042205
IDU027,2,BLU,BLU,1,b,1,555,1726758043285
IDU027,3,GIALLO,BLU,0,b,1,669,1726758044479
IDU027,4,BLU,BLU,1,b,1,533,1726758045537
IDU027,5,VERDE,ROSSO,0,r,1,868,1726758046929
IDU027,6,VERDE,VERDE,1,v,1,604,1726758048057
IDU027,7,BLU,VERDE,0,v,1,650,1726758049230
IDU027,8,VERDE,GIALLO,0,g,1,564,1726758050318
IDU027,9,ROSSO,ROSSO,1,r,1,599,1726758051441
IDU027,10,GIALLO,ROSSO,0,r,1,622,1726758052587
IDU027,11,ROSSO,VERDE,0,v,1,863,1726758053975
IDU027,12,ROSSO,ROSSO,1,r,1,722,1726758055221
IDU027,13,ROSSO,ROSSO,1,r,1,530,1726758056277
IDU027,14,VERDE,VERDE,1,v,1,809,1726758057609
IDU027,15,ROSSO,BLU,0,b,1,561,1726758058695
IDU027,16,BLU,ROSSO,0,r,1,692,1726758059911
IDU027,17,GIALLO,VERDE,0,g,0,890,1726758061326
IDU027,18,VERDE,VERDE,1,v,1,726,1726758062576
IDU027,19,BLU,GIALLO,0,g,1,662,1726758063761
IDU027,20,BLU,BLU,1,b,1,665,1726758064951
IDU027,21,GIALLO,GIALLO,1,g,1,626,1726758066101
IDU027,22,ROSSO,GIALLO,0,g,1,562,1726758067187
IDU027,23,GIALLO,GIALLO,1,g,1,555,1726758068265
IDU027,24,VERDE,BLU,0,b,1,493,1726758069282
IDU029,1,BLU,GIALLO,0,g,1,1120,1727183557443
IDU029,2,BLU,BLU,1,b,1,855,1727183558821
IDU029,3,BLU,BLU,1,b,1,597,1727183559942
IDU029,4,VERDE,GIALLO,0,g,1,1047,1727183561515
IDU029,5,GIALLO,GIALLO,1,g,1,1061,1727183563100
IDU029,6,ROSSO,ROSSO,1,r,1,916,1727183564541
IDU029,7,GIALLO,VERDE,0,v,1,1243,1727183566308
IDU029,8,VERDE,BLU,0,b,1,937,1727183567770
IDU029,9,ROSSO,BLU,0,b,1,582,1727183568875
IDU029,10,BLU,ROSSO,0,r,1,826,1727183570226
IDU029,11,GIALLO,ROSSO,0,r,1,575,1727183571323
IDU029,12,ROSSO,ROSSO,1,r,1,477,1727183572325
IDU029,13,VERDE,ROSSO,0,r,1,494,1727183573344
IDU029,14,VERDE,VERDE,1,v,1,861,1727183574728
IDU029,15,VERDE,VERDE,1,v,1,502,1727183575755
IDU029,16,ROSSO,VERDE,0,v,1,574,1727183576853
IDU029,17,ROSSO,ROSSO,1,r,1,813,1727183578191
IDU029,18,BLU,BLU,1,b,1,800,1727183579515
IDU029,19,GIALLO,GIALLO,1,g,1,817,1727183580857
IDU029,20,GIALLO,GIALLO,1,g,1,487,1727183581867
IDU029,21,BLU,VERDE,0,v,1,1073,1727183583464
IDU029,22,VERDE,VERDE,1,v,1,568,1727183584556
IDU029,23,ROSSO,GIALLO,0,g,1,1059,1727183586139
IDU029,24,GIALLO,BLU,0,b,1,1003,1727183587667
IDU031,1,GIALLO,VERDE,0,v,1,814,1727254079781
IDU031,2,VERDE,VERDE,1,v,1,536,1727254080841
IDU031,3,ROSSO,GIALLO,0,g,1,642,1727254082006
IDU031,4,BLU,VERDE,0,v,1,947,1727254083478
IDU031,5,BLU,BLU,1,b,1,1621,1727254085622
IDU031,6,VERDE,VERDE,1,v,1,668,1727254086814
IDU031,7,GIALLO,GIALLO,1,g,1,1047,1727254088384
IDU031,8,ROSSO,BLU,0,b,1,780,1727254089691
IDU031,9,ROSSO,VERDE,0,v,1,869,1727254091085
IDU031,10,BLU,BLU,1,b,1,596,1727254092205
IDU031,11,VERDE,BLU,0,b,1,613,1727254093342
IDU031,12,BLU,GIALLO,0,g,1,596,1727254094462
IDU031,13,BLU,ROSSO,0,r,1,950,1727254095936
IDU031,14,GIALLO,BLU,0,b,1,729,1727254097190
IDU031,15,VERDE,VERDE,1,v,1,580,1727254098295
IDU031,16,ROSSO,ROSSO,1,r,1,764,1727254099584
IDU031,17,GIALLO,GIALLO,1,g,1,563,1727254100671
IDU031,18,GIALLO,ROSSO,0,r,1,593,1727254101789
IDU031,19,GIALLO,GIALLO,1,g,1,600,1727254102912
IDU031,20,VERDE,ROSSO,0,r,1,607,1727254104044
IDU031,21,ROSSO,ROSSO,1,r,1,540,1727254105108
IDU031,22,VERDE,GIALLO,0,g,1,675,1727254106308
IDU031,23,ROSSO,ROSSO,1,r,1,668,1727254107500
IDU031,24,BLU,BLU,1,b,1,602,1727254108625
IDU033,1,BLU,BLU,1,b,1,885,1727443422336
IDU033,2,GIALLO,GIALLO,1,g,1,932,1727443423791
IDU033,3,ROSSO,ROSSO,1,r,1,986,1727443425301
IDU033,4,ROSSO,ROSSO,1,r,1,1265,1727443427090
IDU033,5,VERDE,BLU,0,b,1,1177,1727443428790
IDU033,6,ROSSO,ROSSO,1,r,1,813,1727443430127
IDU033,7,VERDE,VERDE,1,v,1,1011,1727443431661
IDU033,8,VERDE,VERDE,1,v,1,704,1727443432889
IDU033,9,GIALLO,GIALLO,1,g,1,812,1727443434224
IDU033,10,ROSSO,BLU,0,b,1,1091,1727443435840
IDU033,11,GIALLO,VERDE,0,v,1,1461,1727443437824
IDU033,12,GIALLO,GIALLO,1,g,1,755,1727443439104
IDU033,13,BLU,ROSSO,0,r,1,1219,1727443440846
IDU033,14,BLU,GIALLO,0,g,1,2237,1727443443608
IDU033,15,ROSSO,VERDE,0,v,1,1079,1727443445210
IDU033,16,ROSSO,GIALLO,0,g,1,1083,1727443446818
IDU033,17,VERDE,GIALLO,0,g,1,915,1727443448257
IDU033,18,GIALLO,BLU,0,b,1,990,1727443449771
IDU033,19,BLU,VERDE,0,v,1,1277,1727443451572
IDU033,20,BLU,BLU,1,b,1,1473,1727443453569
IDU033,21,VERDE,ROSSO,0,r,1,1064,1727443455156
IDU033,22,VERDE,VERDE,1,v,1,824,1727443456503
IDU033,23,BLU,BLU,1,b,1,961,1727443457987
IDU033,24,GIALLO,ROSSO,0,r,1,1024,1727443459536
IDU035,1,BLU,GIALLO,0,g,1,941,1727775126661
IDU035,2,BLU,BLU,1,b,1,777,1727775127961
IDU035,3,VERDE,BLU,0,b,1,869,1727775129354
IDU035,4,GIALLO,VERDE,0,v,1,1040,1727775130917
IDU035,5,ROSSO,BLU,0,b,1,876,1727775132317
IDU035,6,GIALLO,GIALLO,1,g,1,773,1727775133614
IDU035,7,GIALLO,BLU,0,b,1,920,1727775135057
