SUBJECT,TRIAL,WORD,COLOR,CONGRUENT,ANSWER,CORRECT,REACTION TIME,TIMESTAMP
IDU024,5,BLU,BLU,1,b,1,857,1725875165239
IDU024,7,VERDE,VERDE,1,v,1,929,1725875168330
IDU024,10,GIALLO,GIALLO,1,g,1,930,1725875173048
IDU024,12,GIALLO,GIALLO,1,g,1,954,1725875176113
IDU024,16,BLU,BLU,1,b,1,911,1725875182126
IDU024,20,VERDE,VERDE,1,v,1,909,1725875188374
IDU024,21,ROSSO,ROSSO,1,r,1,1060,1725875189960
IDU024,22,VERDE,VERDE,1,v,1,900,1725875191384
IDU024,24,ROSSO,ROSSO,1,r,1,931,1725875194438
IDU025,1,VERDE,VERDE,1,v,1,923,1726566186058
IDU025,6,BLU,BLU,1,b,1,665,1726566192928
IDU025,8,BLU,BLU,1,b,1,759,1726566195809
IDU025,11,ROSSO,ROSSO,1,r,1,656,1726566199537
IDU025,12,GIALLO,GIALLO,1,g,1,816,1726566200877
IDU025,13,BLU,BLU,1,b,1,784,1726566202186
IDU025,16,GIALLO,GIALLO,1,g,1,910,1726566206528
IDU025,17,ROSSO,ROSSO,1,r,1,873,1726566207924
IDU025,20,VERDE,VERDE,1,v,1,647,1726566211668
IDU025,21,ROSSO,ROSSO,1,r,1,714,1726566212907
IDU025,22,VERDE,VERDE,1,v,1,735,1726566214166
IDU025,24,GIALLO,GIALLO,1,g,1,677,1726566216479
IDU027,1,GIALLO,GIALLO,1,g,1,722,1726758042205
IDU027,2,BLU,BLU,1,b,1,555,1726758043285
IDU027,4,BLU,BLU,1,b,1,533,1726758045537
IDU027,6,VERDE,VERDE,1,v,1,604,1726758048057
IDU027,9,ROSSO,ROSSO,1,r,1,599,1726758051441
IDU027,12,ROSSO,ROSSO,1,r,1,722,1726758055221
IDU027,13,ROSSO,ROSSO,1,r,1,530,1726758056277
IDU027,14,VERDE,VERDE,1,v,1,809,1726758057609
IDU027,18,VERDE,VERDE,1,v,1,726,1726758062576
IDU027,20,BLU,BLU,1,b,1,665,1726758064951
IDU027,21,GIALLO,GIALLO,1,g,1,626,1726758066101
IDU027,23,GIALLO,GIALLO,1,g,1,555,1726758068265
IDU029,2,BLU,BLU,1,b,1,855,1727183558821
IDU029,3,BLU,BLU,1,b,1,597,1727183559942
IDU029,5,GIALLO,GIALLO,1,g,1,1061,1727183563100
IDU029,6,ROSSO,ROSSO,1,r,1,916,1727183564541
IDU029,12,ROSSO,ROSSO,1,r,1,477,1727183572325
IDU029,14,VERDE,VERDE,1,v,1,861,1727183574728
IDU029,15,VERDE,VERDE,1,v,1,502,1727183575755
IDU029,17,ROSSO,ROSSO,1,r,1,813,1727183578191
IDU029,18,BLU,BLU,1,b,1,800,1727183579515
IDU029,19,GIALLO,GIALLO,1,g,1,817,1727183580857
IDU029,20,GIALLO,GIALLO,1,g,1,487,1727183581867
IDU029,22,VERDE,VERDE,1,v,1,568,1727183584556
IDU031,2,VERDE,VERDE,1,v,1,536,1727254080841
IDU031,5,BLU,BLU,1,b,1,1621,1727254085622
IDU031,6,VERDE,VERDE,1,v,1,668,1727254086814
IDU031,7,GIALLO,GIALLO,1,g,1,1047,1727254088384
IDU031,10,BLU,BLU,1,b,1,596,1727254092205
IDU031,15,VERDE,VERDE,1,v,1,580,1727254098295
IDU031,16,ROSSO,ROSSO,1,r,1,764,1727254099584
IDU031,17,GIALLO,GIALLO,1,g,1,563,1727254100671
IDU031,19,GIALLO,GIALLO,1,g,1,600,1727254102912
IDU031,21,ROSSO,ROSSO,1,r,1,540,1727254105108
IDU031,23,ROSSO,ROSSO,1,r,1,668,1727254107500
IDU031,24,BLU,BLU,1,b,1,602,1727254108625
IDU033,1,BLU,BLU,1,b,1,885,1727443422336
IDU033,2,GIALLO,GIALLO,1,g,1,932,1727443423791
IDU033,3,ROSSO,ROSSO,1,r,1,986,1727443425301
IDU033,4,ROSSO,ROSSO,1,r,1,1265,1727443427090
IDU033,6,ROSSO,ROSSO,1,r,1,813,1727443430127
IDU033,7,VERDE,VERDE,1,v,1,1011,1727443431661
IDU033,8,VERDE,VERDE,1,v,1,704,1727443432889
IDU033,9,GIALLO,GIALLO,1,g,1,812,1727443434224
IDU033,12,GIALLO,GIALLO,1,g,1,755,1727443439104
IDU033,20,BLU,BLU,1,b,1,1473,1727443453569
IDU033,22,VERDE,VERDE,1,v,1,824,1727443456503
IDU033,23,BLU,BLU,1,b,1,961,1727443457987
IDU035,2,BLU,BLU,1,b,1,777,1727775127961
IDU035,6,GIALLO,GIALLO,1,g,1,773,1727775133614
IDU035,11,ROSSO,ROSSO,1,r,1,615,1727775140166
IDU035,13,VERDE,VERDE,1,v,1,632,1727775142685
IDU035,15,GIALLO,GIALLO,1,g,1,835,1727775145206
IDU035,16,VERDE,VERDE,1,v,1,702,1727775146433
IDU035,17,VERDE,VERDE,1,v,1,638,1727775147595
IDU035,18,GIALLO,GIALLO,1,g,1,715,1727775148835
IDU035,19,ROSSO,ROSSO,1,r,1,698,1727775150056
IDU035,21,BLU,BLU,1,b,1,716,1727775152659
IDU035,22,ROSSO,ROSSO,1,r,1,784,1727775153966
IDU035,23,BLU,BLU,1,b,1,680,1727775155170
IDU037,1,BLU,BLU,1,b,1,1718,1728482071603
IDU037,4,VERDE,VERDE,1,v,1,1560,1728482077921
IDU037,8,ROSSO,ROSSO,1,r,1,1571,1728482085793
IDU037,9,GIALLO,GIALLO,1,g,1,1732,1728482088049
IDU037,11,BLU,BLU,1,b,1,1819,1728482092554
IDU037,15,VERDE,VERDE,1,v,1,1070,1728482101781
IDU037,16,ROSSO,ROSSO,1,r,1,2185,1728482104490
IDU037,17,GIALLO,GIALLO,1,g,1,2279,1728482107294
